,importance,stdev,n,p99_low,p99_high
is_rainy_season,0.8388183075761155,,1.0,,
is_holiday,0.7586218410310117,,1.0,,
day_of_week,0.7302252471838226,,1.0,,
kaggle_event_store_relevance_max,0.5276531590192732,,1.0,,
is_payday,0.325186919683091,,1.0,,
max_discount_pct,0.2724000772725841,,1.0,,
sin_doy,0.2600617457230179,,1.0,,
store_id,0.22743505115663964,,1.0,,
dow_num,0.21998681383528051,,1.0,,
promo_type_count,0.19886100536596452,,1.0,,
is_school_break,0.16900961983764695,,1.0,,
temperature_2m_min,0.16795625798954283,,1.0,,
kaggle_event_intensity_sum,0.1548599644209716,,1.0,,
temperature_2m_mean,0.14604511057130054,,1.0,,
cos_doy,0.10711943159022397,,1.0,,
active_promo_products,0.09614816522813108,,1.0,,
neighborhood_type,0.08546148743997506,,1.0,,
kaggle_event_relevance_score,0.07748582087097411,,1.0,,
kaggle_event_type_food_festival_category_score,0.06102969128731317,,1.0,,
kaggle_event_type_cultural_category_score,0.05838690706166627,,1.0,,
promo_channel_count,0.05694238777003591,,1.0,,
kaggle_event_type_food_festival,0.05220971936094898,,1.0,,
quarter,0.04029827473049874,,1.0,,
month,0.04023892463884948,,1.0,,
mean_discount_pct,0.03911927314420449,,1.0,,
has_deep_discount,0.03866811448520213,,1.0,,
decision_cos_doy,0.024576439629995228,,1.0,,
promo_discount_intensity,0.019100703719684198,,1.0,,
social_campaign,0.016504741123928746,,1.0,,
email_sent,0.013048128778614831,,1.0,,
close_hour,0.01101056479591822,,1.0,,
serve_type_temp_response_x_temperature_mean,0.01053612883297017,,1.0,,
kaggle_event_kw_music_category_score,0.008840618430750347,,1.0,,
is_weekend,0.008453683301497428,,1.0,,
punthai_station_pressure_score,0.008235758720781305,,1.0,,
day_of_month,0.008216153775141066,,1.0,,
kaggle_event_type_sports_category_score,0.008118950438626094,,1.0,,
kaggle_event_intensity_max,0.007051391183527045,,1.0,,
kaggle_has_cultural_event,0.006435378344444409,,1.0,,
cafe_amazon_station_branch_index,0.0063086361893587295,,1.0,,
kaggle_event_type_concert,0.006219596819496687,,1.0,,
decision_month,0.005841658564420094,,1.0,,
kaggle_local_event_type_count,0.005739091483691006,,1.0,,
punthai_outside_station_branches,0.005422707863262488,,1.0,,
kaggle_event_type_music_festival_category_score,0.004584236793820473,,1.0,,
decision_sin_doy,0.0045787099930540975,,1.0,,
hist_mean_closing_stock,0.004001029784300947,,1.0,,
is_long_weekend_adjacent,0.003790703488340874,,1.0,,
serve_type_negative_share_x_temperature_min,0.0037458133018128947,,1.0,,
serve_type_negative_share_x_temperature_mean,0.0035891456854013626,,1.0,,
kaggle_event_kw_night_category_score,0.002484446699012821,,1.0,,
days_to_month_end,0.0019684471857326358,,1.0,,
serve_type_hot_product_count,0.001726338084437451,,1.0,,
serve_type_iced_product_count,0.0016223177507850295,,1.0,,
decision_is_rainy_season,0.0011767001739872995,,1.0,,
closing_stock_mean_28d,0.0010313153115317775,,1.0,,
stockout_rate_28d,0.000874952505999893,,1.0,,
serve_type_temp_response_x_temperature_min,0.0007834678594278444,,1.0,,
kaggle_days_until_local_event,0.000782959130456895,,1.0,,
hist_stockout_sku_share,0.000737680367937088,,1.0,,
kaggle_has_music_event,0.0007250540469465605,,1.0,,
kaggle_event_kw_book_category_score,0.0006517533295014033,,1.0,,
serve_type_positive_share_x_temperature_min,0.0005354397795285237,,1.0,,
is_any_salary_payday,0.000493806382412032,,1.0,,
closing_stock_mean_7d,0.0004896489932768588,,1.0,,
amazon_station_market_anchor_score,0.0004079578109097426,,1.0,,
stockout_sku_share_7d,0.00014392171587296332,,1.0,,
days_since_stockout,0.00012797612837456285,,1.0,,
serve_type_positive_share_x_temperature_mean,6.487095285478972e-05,,1.0,,
serve_type_piece_product_count,5.895549957291024e-05,,1.0,,
decision_day_of_month,1.1028273522839527e-05,,1.0,,
decision_is_payday,9.292650707592998e-06,,1.0,,
stockout_rate_7d,8.91895747212601e-06,,1.0,,
open_hour,2.078305564090499e-06,,1.0,,
kaggle_event_kw_auto_category_score,0.0,,1.0,,
serve_type_temp_negative_share,0.0,0.0,0.0,,
is_new_store_at_train_end,0.0,,1.0,,
horizon,0.0,,1.0,,
decision_is_weekend,0.0,,1.0,,
serve_type_piece_product_share,0.0,,1.0,,
is_month_start,0.0,,1.0,,
is_month_end,0.0,,1.0,,
horizon_days,0.0,,1.0,,
decision_dow_num,0.0,,1.0,,
serve_type_piece_share,0.0,0.0,0.0,,
decision_is_school_break,0.0,,1.0,,
days_from_decision_to_forecast,0.0,,1.0,,
decision_is_holiday,0.0,,1.0,,
kaggle_event_kw_coffee_category_score,-1.4639834962082432e-06,,1.0,,
kaggle_local_event_count_lead1,-1.657084026263078e-05,,1.0,,
category,-3.223028100052261e-05,,1.0,,
serve_type_blended_product_count,-0.0001201615371302367,,1.0,,
serve_type_temp_positive_share,-0.00012193909883695397,,1.0,,
serve_type_temp_response_score,-0.00014306041107126077,,1.0,,
kaggle_event_kw_religious_category_score,-0.0001590410872971404,,1.0,,
serve_type_blended_product_share,-0.00022119355990035672,,1.0,,
inthanin_pressure_score,-0.0002718210054961645,,1.0,,
serve_type_count,-0.0004372982038374218,,1.0,,
stockout_sku_share_28d,-0.0005075921657224924,,1.0,,
is_post_holiday,-0.0007977600415260966,,1.0,,
week_of_month,-0.0010596573886099137,,1.0,,
staff_count,-0.0011691439835006534,,1.0,,
is_pre_holiday,-0.001297292129274652,,1.0,,
serve_type_iced_product_share,-0.00134227652509189,,1.0,,
kaggle_event_type_market_category_score,-0.002382239911873363,,1.0,,
serve_type_hot_product_share,-0.002411262173366069,,1.0,,
kaggle_event_type_book_fair_category_score,-0.0025218494862722096,,1.0,,
kaggle_event_type_book_fair,-0.0034484265618024423,,1.0,,
is_new_store_90d,-0.003618748955958928,,1.0,,
hist_stockout_rate,-0.004587646187149019,,1.0,,
kaggle_event_kw_student_category_score,-0.00503244585451057,,1.0,,
operating_hours,-0.007292655578212681,,1.0,,
store_age_months,-0.010181092430050498,,1.0,,
days_since_open,-0.018826381836036354,,1.0,,
has_drive_through,-0.020526928252565746,,1.0,,
