,importance,stdev,n,p99_low,p99_high
kaggle_event_store_relevance_max,0.9679170442279705,,1.0,,
max_discount_pct,0.7616540922279214,,1.0,,
is_rainy_season,0.7196014822943777,,1.0,,
day_of_week,0.6182234062204692,,1.0,,
decision_cos_doy,0.5705863189330493,,1.0,,
dow_num,0.4585312412025768,,1.0,,
is_holiday,0.4432263112673418,,1.0,,
store_id,0.35595802464064974,,1.0,,
is_payday,0.3428833101330806,,1.0,,
promo_type_count,0.23216339459256652,,1.0,,
kaggle_event_relevance_score,0.2191233834428008,,1.0,,
kaggle_event_intensity_sum,0.20343913122382062,,1.0,,
is_school_break,0.11608032200117258,,1.0,,
active_promo_products,0.11241250396324354,,1.0,,
neighborhood_type,0.11004762481779551,,1.0,,
temperature_2m_mean,0.10353201622759478,,1.0,,
promo_channel_count,0.10268035029231548,,1.0,,
has_drive_through,0.09974171412037336,,1.0,,
kaggle_event_type_food_festival,0.09656617371650533,,1.0,,
mean_discount_pct,0.09278283741461024,,1.0,,
has_deep_discount,0.08936273273423723,,1.0,,
kaggle_event_type_food_festival_category_score,0.08298719365186003,,1.0,,
cos_doy,0.07557332747096801,,1.0,,
close_hour,0.06542349582605311,,1.0,,
kaggle_event_type_cultural_category_score,0.06524732982041925,,1.0,,
temperature_2m_min,0.04187828498367985,,1.0,,
kaggle_event_type_book_fair_category_score,0.03798996884583339,,1.0,,
is_weekend,0.035017134692548524,,1.0,,
open_hour,0.034197244728462195,,1.0,,
social_campaign,0.03377241240019124,,1.0,,
kaggle_event_kw_book_category_score,0.029844533409415064,,1.0,,
kaggle_event_type_book_fair,0.027664731349370086,,1.0,,
kaggle_event_intensity_max,0.0221933788755031,,1.0,,
kaggle_event_kw_student_category_score,0.02211967619583355,,1.0,,
kaggle_event_type_sports_category_score,0.011266096265009296,,1.0,,
serve_type_iced_product_count,0.010991280933968284,,1.0,,
email_sent,0.00994462638955973,,1.0,,
hist_stockout_rate,0.007572811066783203,,1.0,,
serve_type_hot_product_share,0.006903622672965071,,1.0,,
kaggle_days_until_local_event,0.0060698275781625455,,1.0,,
hist_stockout_sku_share,0.005293334209126144,,1.0,,
kaggle_event_type_market_category_score,0.005199988760210772,,1.0,,
days_to_month_end,0.0050163091157315876,,1.0,,
kaggle_has_cultural_event,0.00466535610924268,,1.0,,
kaggle_event_kw_music_category_score,0.004276295936644914,,1.0,,
decision_is_school_break,0.00367335522702561,,1.0,,
operating_hours,0.003164931662647419,,1.0,,
serve_type_negative_share_x_temperature_min,0.0030849766655212107,,1.0,,
serve_type_iced_product_share,0.002773061676206723,,1.0,,
kaggle_local_event_type_count,0.002315230650019373,,1.0,,
amazon_station_market_anchor_score,0.0015967528207205817,,1.0,,
decision_day_of_month,0.0014849035462383142,,1.0,,
serve_type_blended_product_share,0.0014131490939153224,,1.0,,
kaggle_has_music_event,0.001343137519013382,,1.0,,
is_long_weekend_adjacent,0.0009952522655414242,,1.0,,
day_of_month,0.000929416871748856,,1.0,,
kaggle_event_type_music_festival_category_score,0.000920701553306813,,1.0,,
week_of_month,0.0008942633819781776,,1.0,,
is_any_salary_payday,0.000874179790889329,,1.0,,
kaggle_event_kw_coffee_category_score,0.000688884619616914,,1.0,,
serve_type_hot_product_count,0.0005621490050486955,,1.0,,
inthanin_pressure_score,0.000438046924655211,,1.0,,
serve_type_temp_positive_share,0.0003973136829813484,,1.0,,
serve_type_temp_response_score,0.00025308331132123385,,1.0,,
kaggle_event_kw_auto_category_score,0.0,,1.0,,
serve_type_temp_negative_share,0.0,0.0,0.0,,
horizon,0.0,,1.0,,
is_new_store_at_train_end,0.0,,1.0,,
serve_type_piece_share,0.0,0.0,0.0,,
days_from_decision_to_forecast,0.0,,1.0,,
horizon_days,0.0,,1.0,,
serve_type_piece_product_share,0.0,,1.0,,
serve_type_blended_product_count,0.0,,1.0,,
serve_type_piece_product_count,0.0,,1.0,,
serve_type_count,0.0,,1.0,,
is_month_start,0.0,,1.0,,
is_pre_holiday,-1.0920441026129879e-05,,1.0,,
category,-1.3810090841559486e-05,,1.0,,
decision_is_weekend,-2.2968439781223537e-05,,1.0,,
decision_is_holiday,-3.931572202731104e-05,,1.0,,
stockout_sku_share_7d,-0.00028065624747419804,,1.0,,
kaggle_local_event_count_lead1,-0.00032849580438032433,,1.0,,
decision_is_rainy_season,-0.000485799480026472,,1.0,,
serve_type_temp_response_x_temperature_min,-0.0005080441702567384,,1.0,,
is_month_end,-0.0005098488350760988,,1.0,,
serve_type_positive_share_x_temperature_mean,-0.0005509369685992027,,1.0,,
is_post_holiday,-0.0007698709992673969,,1.0,,
closing_stock_mean_28d,-0.0008689552799996392,,1.0,,
kaggle_event_kw_religious_category_score,-0.001368837528250566,,1.0,,
kaggle_event_type_concert,-0.0014611207276384874,,1.0,,
stockout_rate_28d,-0.0015740337744283295,,1.0,,
is_new_store_90d,-0.001932405908808832,,1.0,,
serve_type_temp_response_x_temperature_mean,-0.0020192363407804947,,1.0,,
hist_mean_closing_stock,-0.0022985670545683234,,1.0,,
decision_dow_num,-0.0024955677832600998,,1.0,,
punthai_station_pressure_score,-0.002806965738043843,,1.0,,
punthai_outside_station_branches,-0.0032294378281427782,,1.0,,
closing_stock_mean_7d,-0.003233185855274101,,1.0,,
quarter,-0.0034530967180401717,,1.0,,
cafe_amazon_station_branch_index,-0.0035717560983172802,,1.0,,
days_since_stockout,-0.004069920158093154,,1.0,,
serve_type_positive_share_x_temperature_min,-0.004206962865108466,,1.0,,
decision_is_payday,-0.004283645141244463,,1.0,,
stockout_rate_7d,-0.004336816396316223,,1.0,,
serve_type_negative_share_x_temperature_mean,-0.004746327119237392,,1.0,,
decision_sin_doy,-0.0054168611029403735,,1.0,,
decision_month,-0.0060699933112200455,,1.0,,
store_age_months,-0.007322146260390738,,1.0,,
days_since_open,-0.010518989884079843,,1.0,,
month,-0.013932201531018151,,1.0,,
kaggle_event_kw_night_category_score,-0.014434553627152624,,1.0,,
promo_discount_intensity,-0.0158761576652946,,1.0,,
stockout_sku_share_28d,-0.01613538679719717,,1.0,,
staff_count,-0.016652088443889212,,1.0,,
sin_doy,-0.016932911492370195,,1.0,,
