,importance,stdev,n,p99_low,p99_high
is_rainy_season,1.3221215808175568,,1.0,,
kaggle_event_store_relevance_max,0.8312856841679785,,1.0,,
day_of_week,0.7601626804970074,,1.0,,
max_discount_pct,0.7136469317549867,,1.0,,
is_holiday,0.4431361829671605,,1.0,,
dow_num,0.3651548683284993,,1.0,,
is_school_break,0.30587250349983997,,1.0,,
is_payday,0.2522281520818961,,1.0,,
active_promo_products,0.21645392471717706,,1.0,,
temperature_2m_mean,0.13492285434694118,,1.0,,
kaggle_event_type_food_festival,0.1311754715061788,,1.0,,
kaggle_event_intensity_sum,0.12714915897502088,,1.0,,
kaggle_event_relevance_score,0.12046939494152475,,1.0,,
temperature_2m_min,0.11647691333620003,,1.0,,
is_weekend,0.08810017081762211,,1.0,,
promo_channel_count,0.08477938949869035,,1.0,,
cos_doy,0.08472238948765742,,1.0,,
promo_type_count,0.08219048281443087,,1.0,,
kaggle_event_type_food_festival_category_score,0.08071173590580294,,1.0,,
store_id,0.07959579743696565,,1.0,,
has_drive_through,0.06407944405073174,,1.0,,
has_deep_discount,0.060896016822713506,,1.0,,
neighborhood_type,0.060393090734047306,,1.0,,
decision_month,0.03502200182860271,,1.0,,
decision_is_school_break,0.0347390704021322,,1.0,,
promo_discount_intensity,0.03149843670554375,,1.0,,
month,0.02890653888120731,,1.0,,
mean_discount_pct,0.0278463271818854,,1.0,,
kaggle_event_type_book_fair_category_score,0.0273786162306191,,1.0,,
kaggle_event_type_cultural_category_score,0.02668066290990545,,1.0,,
kaggle_event_kw_book_category_score,0.024717219982774097,,1.0,,
kaggle_event_intensity_max,0.0211987708343635,,1.0,,
serve_type_negative_share_x_temperature_min,0.014918340603363944,,1.0,,
days_to_month_end,0.014714552189015961,,1.0,,
operating_hours,0.013272772652237919,,1.0,,
social_campaign,0.010724233777221315,,1.0,,
kaggle_event_type_concert,0.009767504023006524,,1.0,,
quarter,0.00929966781195013,,1.0,,
open_hour,0.009112340447069656,,1.0,,
serve_type_iced_product_count,0.007247968500433188,,1.0,,
closing_stock_mean_7d,0.006983542000533305,,1.0,,
kaggle_has_music_event,0.0068672369628561825,,1.0,,
kaggle_local_event_type_count,0.006545409943882419,,1.0,,
email_sent,0.00649595674815906,,1.0,,
kaggle_has_cultural_event,0.005917299513860996,,1.0,,
kaggle_event_kw_music_category_score,0.005872459451250478,,1.0,,
serve_type_temp_response_x_temperature_mean,0.0050758788366938035,,1.0,,
days_since_open,0.004962691113410855,,1.0,,
kaggle_event_type_music_festival_category_score,0.004862270300652227,,1.0,,
day_of_month,0.004619216989770081,,1.0,,
sin_doy,0.004556553078854719,,1.0,,
kaggle_event_kw_student_category_score,0.003932029407394566,,1.0,,
kaggle_days_until_local_event,0.0027855173289363933,,1.0,,
decision_is_rainy_season,0.002656516857395985,,1.0,,
is_long_weekend_adjacent,0.0024222127892770118,,1.0,,
serve_type_blended_product_share,0.0018898109809750707,,1.0,,
serve_type_iced_product_share,0.0018791172034351433,,1.0,,
cafe_amazon_station_branch_index,0.0017782997028437109,,1.0,,
inthanin_pressure_score,0.0015556143725614646,,1.0,,
is_post_holiday,0.0014692278452557161,,1.0,,
kaggle_event_type_market_category_score,0.0014585195123775208,,1.0,,
hist_mean_closing_stock,0.0009795060428281488,,1.0,,
kaggle_event_kw_coffee_category_score,0.0006704533206942642,,1.0,,
serve_type_hot_product_share,0.0006482849925504297,,1.0,,
amazon_station_market_anchor_score,0.0005923271035168653,,1.0,,
kaggle_event_type_book_fair,0.00039470192473523014,,1.0,,
serve_type_blended_product_count,0.00028716660448857567,,1.0,,
serve_type_count,0.00019409130885250647,,1.0,,
closing_stock_mean_28d,3.938987556750817e-05,,1.0,,
days_since_stockout,3.439115507219981e-05,,1.0,,
horizon,0.0,,1.0,,
serve_type_temp_negative_share,0.0,0.0,0.0,,
kaggle_event_kw_auto_category_score,0.0,,1.0,,
serve_type_temp_response_score,0.0,,1.0,,
is_new_store_at_train_end,0.0,,1.0,,
serve_type_temp_positive_share,0.0,,1.0,,
serve_type_piece_product_count,0.0,,1.0,,
serve_type_hot_product_count,0.0,,1.0,,
serve_type_piece_product_share,0.0,,1.0,,
is_month_start,0.0,,1.0,,
is_month_end,0.0,,1.0,,
decision_dow_num,0.0,,1.0,,
decision_is_weekend,0.0,,1.0,,
decision_is_holiday,0.0,,1.0,,
decision_is_payday,0.0,,1.0,,
days_from_decision_to_forecast,0.0,,1.0,,
category,0.0,,1.0,,
serve_type_piece_share,0.0,0.0,0.0,,
is_any_salary_payday,0.0,,1.0,,
horizon_days,0.0,,1.0,,
decision_day_of_month,-1.6389613294975902e-05,,1.0,,
serve_type_positive_share_x_temperature_min,-0.00011915925099259539,,1.0,,
serve_type_positive_share_x_temperature_mean,-0.00020692260023302822,,1.0,,
is_pre_holiday,-0.0002897419449805483,,1.0,,
kaggle_local_event_count_lead1,-0.0003923866574595536,,1.0,,
decision_cos_doy,-0.0004500197892003399,,1.0,,
punthai_outside_station_branches,-0.0006022456050533975,,1.0,,
stockout_rate_7d,-0.000877292322202905,,1.0,,
serve_type_negative_share_x_temperature_mean,-0.000954054612041233,,1.0,,
punthai_station_pressure_score,-0.0014083678712282222,,1.0,,
kaggle_event_type_sports_category_score,-0.00208434180883188,,1.0,,
kaggle_event_kw_religious_category_score,-0.0022735917942462436,,1.0,,
serve_type_temp_response_x_temperature_min,-0.0023327928510958884,,1.0,,
week_of_month,-0.0026452638437142184,,1.0,,
store_age_months,-0.002676651176861,,1.0,,
hist_stockout_sku_share,-0.0037045451019626086,,1.0,,
kaggle_event_kw_night_category_score,-0.0038180982212860926,,1.0,,
stockout_rate_28d,-0.006009617496864905,,1.0,,
is_new_store_90d,-0.00643767757798841,,1.0,,
stockout_sku_share_7d,-0.006478404183988928,,1.0,,
close_hour,-0.007418578300192991,,1.0,,
hist_stockout_rate,-0.015204231281636282,,1.0,,
stockout_sku_share_28d,-0.023554085527869972,,1.0,,
decision_sin_doy,-0.026585761885968395,,1.0,,
staff_count,-0.04391954090844408,,1.0,,
